No.,質問日,該当資料,質問内容,ステータス,回答日,回答内容
1,2025/6/10,RFP（p12）,基幹システムから移行する予定のテーブル数、データ数はどの程度を想定しておりますかでしょうか？,完了,2025/6/11,"要件定義で詳細を確定していきたいと考えています。
現在だと不確定な要素が多いですが、製品・商品・部材情報などを基幹システム経由での登録を考えています。
補足になりますが、管理されていないExcelデータ（単価表）の取り込みやSalesforce（取引先情報、支店（組織）情報、社員情報）から取り込むことも検討しています。"
2,2025/6/10,RFP（p12）,STEP1で外部連携する先はsalesforceのみの認識でしょうか？,完了,2025/6/11,"Salesforceのみです。
補足するとSTEP1では、以下の2点を実装範囲として想定しています。
①. 取引先情報、支店（組織）情報、社員情報のAPI連携（取り込み）
②. 見積情報および問合せ情報のAPI連携（出力）

なお、STEP2以降でITS工房が提供するサービスとの連携において、製品・商品・部材情報や標準単価、支店ごとの単価のデータを扱う予定です。
そのため、将来的な連携開始時にスムーズに対応できるよう、無理のないデータ構造設計を行うことが重要と考えています。"
3,2025/6/10,RFP（p12）,基幹システム（SMILE）からのデータ取り込みはどういった方式を想定しておりますでしょうか？,完了,2025/6/11,"SMILE Vのデータベース（SQL Server）には直接アクセスできないため、基幹で取れる必要なデータは中間サーバ（SQL Server）を設置する予定です。
それ（中間サーバ）を経由してデータを取得します。
（※概念は「戦略データ基盤イメージ（図解化）.ppt」をご参照ください）"
4,2025/6/10,RFP（p12）,ITS工房とはグループ会社様で使用している基幹システムという認識でよろしいでしょうか？,完了,2025/6/11,基幹システムではございません。グループのシステム子会社です。
5,2025/6/10,RFP（p12）,ITS工房側のAPIはREST設計でしょうか？それともSOAP等でしょうか？,完了,2025/6/11,"ITS工房社に確認は必要となりますが、お互いに開発することになるので、あるべき姿論で開発を行いたいです。
JOSNが扱えるREST設計の方が汎用的で望ましいと考えています。"
6,2025/6/10,RFP（p12）,戦略データ基盤から発行するAPI数はどの程度を想定しておりますでしょうか？,完了,2025/6/11,"現在想定数を算出するのはむつかしいと考えています。
基本設計工程で決め切りたいと考えています。"
7,2025/6/10,要求機能（1-1-1）,ポータルサイトの管理者画面で、「ユーザ登録」「アカウントロック解除」等ユーザ周り以外で実装予定の機能はございますか？,完了,2025/6/11,"アドミニストレーター機能とパワーユーザー機能が必要で、こちらを仕分けたいです。
要件定義で詳細を詰めさせてください。"
8,2025/6/10,要求機能（2-6-3）,"見積書、注文書等の各種帳票は戦略データ基盤で活用する想定でしょうか？
＜追記＞
ご認識の通り、各種帳票中のデータをどの様に取扱うかの確認でした。",完了,2025/6/12,"書面はファイルストレージで管理します。
ご質問の意図としては、各種帳票中のデータの取り扱いについて確認されていますでしょうか？

＜2025/06/12 桐井製作所追記＞
戦略データ基盤上は、見積書、請求書単位で保持する必要はないと考えています
（個々帳票データは基幹システムで保持するとします）。
戦略データ基盤上で持つべきデータのまとまり（集計の単位）については要件定義・基本設計にて決めていきたいと考えています。"
9,2025/6/10,RFP（p11）,"要求機能一覧に記載されている機能はポータルサイトにおける機能の認識でお間違いないでしょうか？
上記認識の場合、RFP(P.11)上データ戦略基盤についても管理画面がある想定なのですが、こちらはSTEP1での実装範囲に含まれますでしょうか？また、管理画面の機能はどういったものがありますでしょうか？",完了,2025/6/11,"戦略データ基盤の管理画面を作るとしたら、実行結果とリトライができる画面程度と考えています。
取引先ポータルの管理画面は必要です
（アドミニストレーター機能とパワーユーザー機能が必要で、こちらを仕分けたいです。
要件定義で詳細を詰めさせてください）。
戦略データ基盤を交えたデータ概念図をご提供していませんでしたので、「戦略データ基盤イメージ（図解化）.ppt」をご参照ください。"
10,2025/6/11,RFP（p12）,基幹システムの枠に記載のある、「データコンバート」は今回の見積もり範囲に含まれる認識でお間違いないでしょうか？,完了,2025/6/11,データコンバートも含むにてご検討をお願いします。
